"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1993",7.285124944,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1994",8.002596143,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1995",8.407724249,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1996",7.965391561,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1997",8.071943711,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1998",8.185813405,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1999",8.173006303,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2000",8.617503088,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2001",7.029356216,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2002",7.127829206,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2003",6.979397724,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2004",6.961678381,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2005",6.23389012,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2006",6.187077364,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2007",6.379489271,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2008",6.384995149,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2009",6.491157789,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2010",6.706219442,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2011",6.721865982,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2012",6.730751448,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2013",6.726993431,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2014",6.689168633,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2015",6.487353331,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2016",6.748715409,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2017",7.16972054,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1990",0.000001631,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1991",5.083842684,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1992",5.666858513,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1993",5.292288659,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1994",5.648220553,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1995",6.481635969,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1996",6.712539766,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1997",7.586673804,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1998",6.807463243,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","1999",8.082899898,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2000",8.405286176,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2001",7.255908695,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2002",8.236572504,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2003",7.952056745,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2004",6.469216821,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2005",5.974693511,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2006",6.637841057,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2007",7.437198448,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2008",7.674774318,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2009",7.191312654,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2010",8.320848085,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2011",8.707004009,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2012",8.841522358,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2013",9.257945226,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2014",9.807575384,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2015",9.944013983,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2016",9.938840412,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.253773811,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1990",7.261090006,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1991",8.814983841,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1992",9.182074638,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1993",8.30997866,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1994",9.740694301,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1995",8.334465647,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1996",9.666468837,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1997",9.910710325,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1998",10.675672764,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","1999",10.576776029,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2000",10.491539026,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2001",10.751391187,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2002",11.521367703,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2003",10.689232782,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2004",10.165839548,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2005",10.428581088,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2006",9.780707015,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2007",10.448007112,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2008",10.813925664,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2009",10.275566952,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2010",9.692381022,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2011",8.797268405,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2012",8.788203625,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2013",9.365803503,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2014",8.633298848,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2015",8.654149249,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2016",8.834493718,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.818529455,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1990",26.071473522,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1991",24.029867185,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1992",24.800559037,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1993",24.150632052,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1994",21.022918523,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1995",28.218081305,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1996",29.056999217,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1997",25.257845358,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1998",21.918820272,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","1999",23.145910689,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2000",23.267104948,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2001",21.663321245,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2002",16.952348138,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2003",23.150179016,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2004",20.182315309,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2005",15.748632476,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2006",17.187087523,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2007",20.093740779,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2008",20.142126876,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2009",17.659168966,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2010",19.398383388,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2011",19.639295282,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2012",18.300443151,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2013",15.495218955,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2014",14.561952833,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2015",14.259316004,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2016",10.212781707,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2017",12.941441849,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1990",4.954876493,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1991",4.760634338,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1992",4.241143597,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1993",4.130238165,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1994",3.782978369,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1995",3.702809298,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1996",3.808281622,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1997",4.463768705,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1998",4.149625308,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","1999",3.986229702,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2000",3.96771314,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2001",3.613482443,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2002",3.53384407,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2003",3.188608789,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2004",3.927008658,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2005",3.373110636,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2006",3.523211276,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2007",4.344333428,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2008",3.726149496,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2009",3.16035839,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2010",5.937248496,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2011",6.033200956,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2012",7.317690864,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2013",7.817236048,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2014",7.881313608,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2015",9.157330944,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2016",9.698507388,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.351106199,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1990",30.622891935,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1991",30.407839816,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1992",30.304768891,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1993",29.662650904,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1994",30.7129812,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1995",30.898023609,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1996",30.995870992,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1997",30.269265928,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1998",30.616866457,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","1999",30.937462739,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2000",31.036626038,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2001",30.352023849,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2002",31.013357336,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2003",29.780730834,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2004",30.311283885,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2005",30.035469448,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2006",30.164036581,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2007",29.904037927,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2008",28.720723197,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2009",28.057834994,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2010",27.289354351,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2011",26.306813859,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2012",26.141676544,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2013",25.665479715,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2014",24.70077228,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2015",24.672411326,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2016",25.373575618,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.914323559,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1990",55.369994548,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1991",51.637982898,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1992",50.789178453,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1993",51.464666576,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1994",48.37523314,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1995",43.485205265,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1996",44.00235355,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1997",44.639310538,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1998",41.42852079,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","1999",45.534063754,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2000",45.05369553,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2001",43.758163869,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2002",40.282618089,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2003",41.621652826,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2004",43.501663441,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2005",42.644266469,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2006",43.789448068,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2007",47.075737335,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2008",46.916018649,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2009",46.701952383,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2010",39.447716105,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2011",37.861098043,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2012",40.223983028,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2013",43.693506042,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2014",40.776349321,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2015",40.655013732,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2016",38.969218264,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2017",39.639909755,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1990",21.004846968,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1991",21.002892505,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1992",20.434097004,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1993",20.658221757,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1994",21.845186331,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1995",24.655751224,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1996",26.206072602,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1997",24.248984411,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1998",22.682530612,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","1999",23.968044958,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2000",24.328885709,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2001",23.790780296,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2002",24.31271529,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2003",27.990232065,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2004",26.758241046,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.522985497,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2006",29.733377269,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2007",28.675312331,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2008",25.178559322,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2009",24.44475692,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.30571519,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2011",24.633189362,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2012",24.835545334,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2013",26.42205251,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2014",24.514021192,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2015",26.421007976,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2016",25.772160142,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.93067421,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1990",12.968514918,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1991",12.568191369,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1992",12.102923457,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1993",13.599448332,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1994",14.556868756,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1995",15.83253088,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1996",16.444678554,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1997",17.479284718,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1998",16.42135509,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","1999",15.401350691,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2000",15.599023415,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2001",14.119745195,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2002",14.921532838,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2003",15.491140053,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2004",15.801779105,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2005",16.244916151,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2006",14.435707713,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2007",15.536874711,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2008",14.646610695,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2009",14.697657609,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2010",15.412286724,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2011",14.1602986,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2012",14.680160939,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2013",17.16285123,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2014",17.60619259,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2015",17.435197719,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2016",18.835021102,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.765201563,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1990",0.641784078,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1991",0.752711761,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1992",1.003120034,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1993",1.257451502,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1994",1.524403964,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1995",1.955224466,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1996",1.946950721,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1997",2.407234265,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1998",2.610577653,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","1999",2.751608561,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2000",2.89047003,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2001",2.957189407,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2002",3.146008219,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2003",2.884084984,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2004",2.948303349,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2005",2.954778675,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2006",2.99073079,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2007",3.166633122,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2008",3.161837792,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2009",3.275464401,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2010",3.351136478,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2011",3.296498902,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2012",3.381234537,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2013",3.561566147,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2014",3.630662018,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2015",3.632930859,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2016",3.846881887,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.913892856,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1990",15.01100157,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1991",13.558933659,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1992",11.55601618,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1993",11.627305517,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1994",12.319115998,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1995",13.129161819,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1996",13.461456258,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1997",13.854605688,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1998",13.655996935,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","1999",12.601665244,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2000",12.920532056,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2001",11.924811725,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2002",11.358195078,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2003",10.600621249,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2004",11.548932508,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2005",12.659759641,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2006",12.852105687,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2007",12.240355348,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2008",11.909830753,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2009",10.890968083,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2010",11.680743207,
